country,annual_income,corruption_index,cost_index,monthly_income,purchasing_power_index,gdp_per_capita,tourists_in_millions,receipts_in_billions,receipts_per_tourist,percentage_of_gdp,unemployment_rate
Denmark,68110.0,12.0,119.9,5676.0,80.6,64651.0,4.1,4.51,1018.0,1.7,4.8
Djibouti,3300.0,70.0,48.9,782.0,25.8,47316.0,4.1,4.51,1018.0,1.7,28.4
Dominican Republic,8220.0,70.0,48.9,782.0,25.8,47316.0,4.1,4.51,1018.0,1.7,5.0
Ecuador,5930.0,64.0,51.9,494.0,16.2,47316.0,4.1,4.51,1018.0,1.7,6.4
Egypt,3510.0,67.0,27.2,293.0,18.3,47316.0,4.1,4.51,1018.0,1.7,9.3
El Salvador,4140.0,66.0,48.9,782.0,25.8,47316.0,4.1,4.51,1018.0,1.7,5.0
Equatorial Guinea,5810.0,83.0,55.9,484.0,14.8,47316.0,4.1,4.51,1018.0,1.7,5.0
Eritrea,600.0,78.0,48.9,782.0,25.8,47316.0,4.1,4.51,1018.0,1.7,5.0
Estonia,25970.0,26.0,74.0,2164.0,49.8,42192.0,4.1,4.51,1018.0,1.7,5.0
Eswatini,3680.0,68.0,48.9,782.0,25.8,47316.0,4.1,4.51,1018.0,1.7,25.8
Ethiopia,4130.0,69.0,48.9,782.0,25.8,47316.0,0.5,2.28,4405.0,2.1,5.0
Finland,53660.0,12.0,108.0,4472.0,70.6,55007.0,4.1,4.51,1018.0,1.7,5.0
France,43880.0,29.0,96.2,3657.0,64.7,50729.0,117.1,35.96,307.0,1.2,8.1
Gabon,7100.0,69.0,48.9,782.0,25.8,47316.0,4.1,4.51,1018.0,1.7,5.0
Georgia,4130.0,69.0,32.2,395.0,20.9,47316.0,4.1,4.51,1018.0,1.7,5.0
Germany,51040.0,20.0,92.3,4253.0,78.5,57928.0,12.4,58.37,4689.0,1.4,3.5
Ghana,4130.0,69.0,37.3,197.0,9.0,47316.0,4.1,4.51,1018.0,1.7,5.0
Gibraltar,4130.0,69.0,48.9,782.0,25.8,47316.0,4.1,4.51,1018.0,1.7,1.0
Greece,20140.0,51.0,74.7,1678.0,38.3,31295.0,7.4,6.19,836.0,2.9,14.8
Guatemala,4940.0,75.0,48.9,782.0,25.8,47316.0,4.1,4.51,1018.0,1.7,5.0
Guernsey,4130.0,69.0,48.9,782.0,25.8,47316.0,4.1,4.51,1018.0,1.7,1.2
Guinea,1010.0,75.0,48.9,782.0,25.8,47316.0,4.1,4.51,1018.0,1.7,5.0
Haiti,1420.0,80.0,60.1,118.0,3.4,47316.0,4.1,4.51,1018.0,1.7,5.0
Honduras,2540.0,77.0,48.9,782.0,25.8,47316.0,4.1,4.51,1018.0,1.7,5.0
Hong Kong,54450.0,24.0,77.9,4538.0,99.2,65973.0,3.6,32.7,9161.0,8.9,5.3
Hungary,4130.0,69.0,57.3,1478.0,44.0,36753.0,31.6,4.22,133.0,2.3,5.0
Iceland,64410.0,26.0,128.0,5368.0,71.5,57646.0,4.1,4.51,1018.0,1.7,5.0
India,2170.0,60.0,28.8,181.0,10.7,47316.0,4.1,4.51,1018.0,1.7,6.0
Indonesia,4140.0,62.0,35.4,345.0,16.6,47316.0,4.1,3.53,872.0,0.3,4.4
Iran,3370.0,75.0,67.6,281.0,7.1,47316.0,4.1,4.51,1018.0,1.7,5.0
Iraq,5040.0,77.0,36.8,420.0,19.5,47316.0,4.1,4.51,1018.0,1.7,5.0
Ireland,74520.0,26.0,119.8,6210.0,88.3,106456.0,4.1,4.51,1018.0,1.7,6.6
Isle of Man,4130.0,69.0,48.9,782.0,25.8,47316.0,4.1,4.51,1018.0,1.7,1.1
Israel,49560.0,41.0,130.2,4130.0,54.1,43722.0,4.1,4.51,1018.0,1.7,5.0
Italy,35710.0,44.0,86.2,2976.0,58.8,45936.0,38.4,20.46,533.0,1.0,9.8
Ivory Coast,4130.0,69.0,42.7,204.0,8.2,47316.0,4.1,4.51,1018.0,1.7,5.0
Japan,42620.0,27.0,101.9,3552.0,59.4,42940.0,4.1,11.4,2769.0,0.2,2.8
Kazakhstan,4130.0,69.0,33.1,727.0,37.4,47316.0,4.1,4.51,1018.0,1.7,5.0
Kenya,2010.0,70.0,42.3,168.0,6.7,47316.0,4.1,4.51,1018.0,1.7,5.0
Kiribati,4130.0,69.0,48.9,782.0,25.8,47316.0,4.1,4.51,1018.0,1.7,30.6
Kosovo,4130.0,69.0,41.0,414.0,17.2,47316.0,4.1,4.51,1018.0,1.7,30.5
Kyrgyzstan,1180.0,73.0,25.3,98.0,6.6,47316.0,4.1,4.51,1018.0,1.7,5.0
Laos,2520.0,70.0,33.5,210.0,10.7,47316.0,4.1,4.51,1018.0,1.7,1.3
Latvia,4130.0,69.0,48.9,782.0,25.8,34469.0,4.1,4.51,1018.0,1.7,5.0
